id,recorded_at,is_new,ticker,ticker_type,contract_symbol,options_volume,open_interest,bid_price,ask_price,mid_price,contract_display_name,volume_to_open_interest_ratio,expiration_date,strike,option_type,dte
13235,2026-04-20T17:50:59-05:00,1,TGT,STOCK,TGT260424C00140000,37426,39,0.1,0.11,0.105,"TGT Apr 24, 2026 140.00 call",959.641025641026,2026-04-24,140.0,CALL,4
13236,2026-04-20T17:50:59-05:00,1,RDNT,STOCK,RDNT260515C00070000,6017,10,0.35,0.95,0.65,"RDNT May 15, 2026 70.00 call",601.7,2026-05-15,70.0,CALL,25
13237,2026-04-20T17:50:59-05:00,1,PSKY,STOCK,PSKY270319P00010000,5052,11,1.5,1.67,1.585,"PSKY Mar 19, 2027 10.00 put",459.272727272727,2027-03-19,10.0,PUT,333
13238,2026-04-20T17:50:59-05:00,1,POET,STOCK,POET260424C00009500,6062,16,0.2,0.24,0.22,"POET Apr 24, 2026 9.50 call",378.875,2026-04-24,9.5,CALL,4
13239,2026-04-20T17:50:59-05:00,1,ATEC,STOCK,ATEC260618C00015000,5291,15,0.4,0.45,0.425,"ATEC Jun 18, 2026 15.00 call",352.733333333333,2026-06-18,15.0,CALL,59
13240,2026-04-20T17:50:59-05:00,1,TSLA,STOCK,TSLA260424C00790000,6300,18,0.0,0.01,0.005,"TSLA Apr 24, 2026 790.00 call",350.0,2026-04-24,790.0,CALL,4
13241,2026-04-20T17:50:59-05:00,1,EL,STOCK,EL270319C00105000,8006,23,6.7,8.0,7.35,"EL Mar 19, 2027 105.00 call",348.086956521739,2027-03-19,105.0,CALL,333
13242,2026-04-20T17:50:59-05:00,1,CXW,STOCK,CXW260515C00023000,8441,26,0.25,0.45,0.35,"CXW May 15, 2026 23.00 call",324.653846153846,2026-05-15,23.0,CALL,25
13243,2026-04-20T17:50:59-05:00,1,QXO,STOCK,QXO261120C00035000,11249,35,1.0,1.3,1.15,"QXO Nov 20, 2026 35.00 call",321.4,2026-11-20,35.0,CALL,214
13244,2026-04-20T17:50:59-05:00,1,TMUS,STOCK,TMUS260501C00217500,4381,16,0.75,1.35,1.05,"TMUS May 01, 2026 217.50 call",273.8125,2026-05-01,217.5,CALL,11
13245,2026-04-20T17:50:59-05:00,1,PTON,STOCK,PTON260529C00007500,5000,19,0.0,0.45,0.225,"PTON May 29, 2026 7.50 call",263.157894736842,2026-05-29,7.5,CALL,39
13246,2026-04-20T17:50:59-05:00,1,NOK,STOCK,NOK260501P00011000,6026,24,0.83,0.93,0.88,"NOK May 01, 2026 11.00 put",251.083333333333,2026-05-01,11.0,PUT,11
13247,2026-04-20T17:50:59-05:00,1,CC,STOCK,CC260508C00021000,20340,84,3.0,3.3,3.15,"CC May 08, 2026 21.00 call",242.142857142857,2026-05-08,21.0,CALL,18
13248,2026-04-20T17:50:59-05:00,1,PSKY,STOCK,PSKY270319P00005000,5007,21,0.12,0.2,0.16,"PSKY Mar 19, 2027 5.00 put",238.428571428571,2027-03-19,5.0,PUT,333
13249,2026-04-20T17:50:59-05:00,1,CEG,STOCK,CEG260529P00230000,2519,11,1.8,2.8,2.3,"CEG May 29, 2026 230.00 put",229.0,2026-05-29,230.0,PUT,39
13250,2026-04-20T17:50:59-05:00,1,SIG,STOCK,SIG260618C00090000,6758,31,11.0,12.3,11.65,"SIG Jun 18, 2026 90.00 call",218.0,2026-06-18,90.0,CALL,59
